	H5-B-T	H4-A-B	H6-A-M	H5-B-B	H5-B-M	H4-C-M	H7-B-T	H5-C-B	H7-C-M	H2-A-T	H2-C-B	H4-A-M	H6-A-B	H2-B-T	H6-B-M	H4-B-M	H5-C-T	H4-B-B	H2-B-M	H6-B-B	H4-C-T	H6-C-B	H2-B-B	H7-C-T	H4-B-T	H6-C-T	H4-A-T	H3-A-T	H3-B-B	H3-C-M	H2-C-M	H4-C-B	H6-A-T	H3-A-M	H3-C-T	H2-A-M	H2-A-B	H5-A-M	H2-C-T	H6-C-M	H3-B-M	H3-C-B	H3-B-T	H7-B-B	H3-A-B	H7-B-M
H2-C-B	0.319400146961	0.357739466308	0.300793367315	0.388944298079	0.387654281418	0.262041761185	0.381535024195	0.359018103758	0.355439550808	0.294566225428	0.0	0.327372298936	0.290178625565	0.253173495943	0.26266486558	0.331282214994	0.279084715739	0.367270259626	0.279052906648	0.262172021072	0.279940505303	0.282943988091	0.23546383154	0.351097396273	0.323037191146	0.271826439577	0.359485078463	0.300410978527	0.275172910372	0.328729714116	0.206382863272	0.378236335686	0.307606211719	0.3095693644	0.369430289884	0.252331778465	0.216650422547	0.365429891357	0.231735563461	0.306271770509	0.257989588354	0.317233634618	0.271838349615	0.355356732603	0.299366655527	0.368226143989
H4-A-M	0.239254633403	0.199051703546	0.240795190824	0.286510594633	0.287221529861	0.25443615053	0.250803287774	0.292527234143	0.282483985757	0.334115677879	0.327372298936	0.0	0.297857546242	0.263290653509	0.281453932384	0.202550373508	0.272617708481	0.265695001355	0.312633937171	0.330003944877	0.237149263934	0.309746124149	0.340037828303	0.255856955039	0.205439873584	0.25923822028	0.204005603933	0.24123483568	0.294488247295	0.258565371163	0.315692870585	0.309161795492	0.235118021435	0.243421746757	0.251120973729	0.305092773435	0.318496385577	0.250758104012	0.282773584535	0.297943563746	0.297093903639	0.272115833058	0.264195019225	0.304444552006	0.272238489328	0.279446474354
H6-A-B	0.235343165614	0.323045972845	0.179934506842	0.290582940601	0.284994972469	0.245050716466	0.348236125155	0.300867352055	0.286969253578	0.26167425422	0.290178625565	0.297857546242	0.0	0.252134552938	0.174132050114	0.275827269602	0.217468649762	0.309413328604	0.254917960427	0.153423958134	0.296493630558	0.15119315255	0.237848158993	0.322878469557	0.285117156364	0.193436627108	0.316046544235	0.284868910859	0.304788747358	0.286229947338	0.264001635157	0.358099567216	0.210219831595	0.317737115032	0.339485736111	0.259781334105	0.246724033892	0.302424868615	0.249679532345	0.20732173848	0.265189014858	0.262447895921	0.273720435803	0.263502800754	0.300713241287	0.320574134044
H2-B-T	0.239445819757	0.321400854567	0.234155161476	0.332492487253	0.303061238522	0.260941337294	0.29527667845	0.339962030886	0.266361050934	0.241166671243	0.253173495943	0.263290653509	0.252134552938	0.0	0.258671846689	0.280673505752	0.256509350216	0.324619505403	0.215941935283	0.268456771638	0.250760800486	0.256742132371	0.248757983351	0.29001831718	0.267867354597	0.20275226208	0.278484328123	0.244866806146	0.294314296466	0.287075247458	0.243040027786	0.360890490039	0.212692472961	0.282935915817	0.271032658383	0.229935238831	0.239587188587	0.293496146065	0.223787809025	0.239192036637	0.261608675058	0.258015500079	0.246364118836	0.263527378703	0.262587315636	0.296683605217
H6-B-M	0.217520560034	0.302788647369	0.170961437826	0.292477967215	0.276030001011	0.201960721544	0.31153862847	0.287562887626	0.250560680094	0.264746298685	0.26266486558	0.281453932384	0.174132050114	0.258671846689	0.0	0.251992035715	0.171395439425	0.313117479154	0.243863381218	0.158770412612	0.263329433228	0.200027130957	0.236717436511	0.281158394518	0.257893578583	0.171601674446	0.302226604603	0.256834891067	0.266242524754	0.264235537845	0.209453867404	0.331891985021	0.19444975401	0.284689915842	0.327244640503	0.212178978661	0.237221593284	0.274925594902	0.19335005454	0.19611911753	0.219240419978	0.273448118828	0.236063383511	0.242795651792	0.284549507316	0.2829421429
H4-B-M	0.211942732646	0.218697104274	0.220289688522	0.263255299465	0.250460524014	0.209895418325	0.251269429415	0.266075796987	0.264502055609	0.324233160549	0.331282214994	0.202550373508	0.275827269602	0.280673505752	0.251992035715	0.0	0.248088573195	0.249517550327	0.297370529024	0.294677496387	0.238804052635	0.311023031183	0.327016354479	0.246700193634	0.179805505561	0.241623059857	0.228645274864	0.229126091561	0.285872457593	0.253065354693	0.27577104635	0.301999393718	0.226923191295	0.220826899326	0.274657559686	0.265439037828	0.312760025388	0.248100307834	0.254504061539	0.272061333677	0.266853757092	0.283950240431	0.246024521543	0.276805188072	0.282623737868	0.262362364173
H5-C-T	0.184309798565	0.281214223101	0.20069986416	0.285720662371	0.261267588559	0.202133081537	0.310806489816	0.268934776261	0.272087792817	0.273158798053	0.279084715739	0.272617708481	0.217468649762	0.256509350216	0.171395439425	0.248088573195	0.0	0.301497648575	0.257954343082	0.218143783655	0.262925882686	0.232732503884	0.258487631128	0.284983741522	0.255190216493	0.184797580482	0.292347055441	0.251119589478	0.276517217987	0.263103882142	0.23173482363	0.3216671213	0.215122202134	0.277288591879	0.321281891354	0.23166768076	0.254634716103	0.263660989069	0.191204860508	0.233555033665	0.229432013728	0.279400294563	0.234933671286	0.265905912133	0.286538146048	0.303875280611
H4-B-B	0.265901391674	0.214339318703	0.282382734669	0.213542565341	0.330413754347	0.322011985682	0.306350495004	0.218207660932	0.37276950696	0.393413742194	0.367270259626	0.265695001355	0.309413328604	0.324619505403	0.313117479154	0.249517550327	0.301497648575	0.0	0.382523474617	0.349087785857	0.302531977067	0.305017328207	0.353608666552	0.33280223267	0.276069770677	0.291989464679	0.242589503645	0.284799860193	0.283367245727	0.300960309642	0.379708997322	0.210912901779	0.296620071765	0.288250382818	0.310764052506	0.379633542078	0.348016429186	0.31216871409	0.338152857642	0.341937136485	0.368807838589	0.268413481738	0.311251336605	0.376883732138	0.270710582762	0.384766101751
H2-B-M	0.263900769866	0.366650686592	0.240307854559	0.367452380015	0.274269390555	0.268540661641	0.33185463175	0.395557571224	0.225756496218	0.166948938368	0.279052906648	0.312633937171	0.254917960427	0.215941935283	0.243863381218	0.297370529024	0.257954343082	0.382523474617	0.0	0.266876311201	0.316574882216	0.259622220472	0.185252648827	0.31568088945	0.324186498539	0.218779907229	0.341684523959	0.303344069321	0.340714109283	0.316010615822	0.215509437546	0.435154146847	0.223475489595	0.319734421724	0.329651466661	0.206870821402	0.202955296668	0.315552399796	0.24444741434	0.186520111291	0.267476255659	0.277237253144	0.305212128317	0.20998331192	0.301896810139	0.267367063519
H6-B-B	0.26740203078	0.335496896033	0.232059919106	0.331027394807	0.336776071804	0.233332364837	0.3589019302	0.322812282746	0.304439370313	0.284137051603	0.262172021072	0.330003944877	0.153423958134	0.268456771638	0.158770412612	0.294677496387	0.218143783655	0.349087785857	0.266876311201	0.0	0.285753794621	0.199147848823	0.2417885467	0.326100066851	0.310095093114	0.21716724186	0.352879742209	0.29603600707	0.290295067611	0.311344359716	0.226257608163	0.376474336901	0.249729645236	0.320228570795	0.365304523728	0.241426475345	0.246989066094	0.333589544487	0.229349125215	0.236441392916	0.24095220713	0.302867317128	0.262815802687	0.283308477843	0.311041770827	0.329448791084
