	H5-B-T	H4-A-B	H6-A-M	H5-B-B	H5-B-M	H4-C-M	H7-B-T	H5-C-B	H7-C-M	H2-A-T	H2-C-B	H4-A-M	H6-A-B	H2-B-T	H6-B-M	H4-B-M	H5-C-T	H4-B-B	H2-B-M	H6-B-B	H4-C-T	H6-C-B	H2-B-B	H7-C-T	H4-B-T	H6-C-T	H4-A-T	H3-A-T	H3-B-B	H3-C-M	H2-C-M	H4-C-B	H6-A-T	H3-A-M	H3-C-T	H2-A-M	H2-A-B	H5-A-M	H2-C-T	H6-C-M	H3-B-M	H3-C-B	H3-B-T	H7-B-B	H3-A-B	H7-B-M
H2-C-B	0.0869759780988	0.0867190786164	0.0798824225556	0.115087232557	0.0812107752207	0.0535964299859	0.0827758017621	0.0899347095283	0.0649944754712	0.067917304439	0.0	0.0712274113986	0.106160400837	0.0660663893517	0.0644116402708	0.0872107548337	0.0720182392238	0.101935393025	0.0537299626406	0.0678373501248	0.0665132559231	0.092311676554	0.0615496081313	0.0737114807496	0.0910564307097	0.0744575410722	0.0979334461964	0.0810342823593	0.056566757379	0.0874313454701	0.0405370159809	0.0774571342183	0.06742682303	0.0724721596423	0.0970164619451	0.0506765380157	0.0607612365725	0.0726475930703	0.0649682739873	0.0723345119667	0.0564215440347	0.087506466762	0.0683945156522	0.0687918187378	0.0626700518766	0.0747904779473
H4-A-M	0.0939460214335	0.0378377082379	0.0899564356736	0.112841145172	0.0880545189044	0.0683718240836	0.051246119592	0.0917114684021	0.0718073841285	0.0961256766012	0.0712274113986	0.0	0.122341698938	0.0884688405345	0.0863300418428	0.0737043375154	0.0933923612431	0.0927733703923	0.0828716733712	0.092155616656	0.0676392406406	0.120590979381	0.10327995503	0.0614340605786	0.0796286518412	0.0916766330537	0.0798003849796	0.0750402427887	0.0691710454731	0.0846582064799	0.070193760616	0.0730187631755	0.0716271956257	0.0568439248596	0.0845487208512	0.0748455847021	0.101359236226	0.0775049562933	0.0845782910545	0.0910595101569	0.0790346348943	0.0952939316377	0.0737995522744	0.0834117486029	0.0681521734617	0.0636359457979
H6-A-B	0.053463981887	0.120347055729	0.0502021134841	0.0601550416917	0.081095060403	0.0921708559943	0.111041000017	0.0750116987656	0.0984564656113	0.0762905870818	0.106160400837	0.122341698938	0.0	0.0680156899536	0.0605965196116	0.0721112784268	0.062535358473	0.0643438186083	0.0970752685542	0.0547849105096	0.084064690535	0.0336146083056	0.0756347380977	0.0963831424896	0.066940367417	0.0535076074501	0.0741201228743	0.0711348826776	0.0956715399832	0.0678913288109	0.0976917318378	0.101965107325	0.071580334107	0.0965749378566	0.0729880067193	0.0901253370893	0.0651878231087	0.0875935625399	0.0714692776014	0.059849260245	0.0810952163378	0.0560091356133	0.0769987373922	0.0896747234771	0.0908491245606	0.109491516463
H2-B-T	0.0435627362335	0.0927784341048	0.0386343458638	0.0772205405285	0.0619679050706	0.0645857874913	0.0846939494822	0.0605844125912	0.0662967795943	0.0517100317044	0.0660663893517	0.0884688405345	0.0680156899536	0.0	0.0486503322239	0.0550538299534	0.0487628322118	0.0635844787561	0.0615961890264	0.0496988504194	0.0472376604708	0.0578909346355	0.0540398093639	0.068827894581	0.0513073066059	0.0352345182489	0.0558585116488	0.0455625990376	0.0625569452092	0.0580536375527	0.0642331149841	0.0749116426323	0.0459671718923	0.0736260453722	0.0536564924283	0.0554751662283	0.0415978861301	0.0557745801941	0.0531725082137	0.0467204015277	0.0513298145814	0.0476236509598	0.0450927335652	0.0644640699487	0.0558499465498	0.0821355629462
H6-B-M	0.0483238870529	0.0860870314748	0.0370851162471	0.0786168645328	0.0490737992333	0.0472904979276	0.0757058382055	0.0589527260312	0.0514923996297	0.0428210201425	0.0644116402708	0.0863300418428	0.0605965196116	0.0486503322239	0.0	0.0533779986663	0.0304772679446	0.0706621401474	0.0577820844492	0.0266662418578	0.0502834344153	0.0564052842021	0.045182390337	0.0568577045985	0.0620920221057	0.035894995671	0.0668185736597	0.0496774794671	0.0564250237434	0.0492209230868	0.0517192223322	0.0653309178073	0.0379286228908	0.0635312211499	0.0658747588044	0.0456510012448	0.0499555347841	0.0513977839583	0.0336165046545	0.0315412206589	0.0359553019899	0.0563655259268	0.0395686514489	0.0486576374978	0.0536729088962	0.0675836731337
H4-B-M	0.0469993664798	0.0728114152029	0.045999953503	0.0649163482862	0.0623350525821	0.0595645780198	0.0655242758985	0.0504195615661	0.0665875704591	0.0711952120132	0.0872107548337	0.0737043375154	0.0721112784268	0.0550538299534	0.0533779986663	0.0	0.0538350274017	0.0503424449495	0.0849564722502	0.0604398886268	0.0442463194078	0.0775050225622	0.0780008185309	0.0504834452216	0.0374398607193	0.0506631032718	0.0412244534401	0.0357180340792	0.0652879012008	0.041029231871	0.0730787732977	0.0654943357752	0.051176029118	0.0502191267437	0.0418832511365	0.0657777656167	0.067115957511	0.0598307606746	0.0496959051949	0.0544869145109	0.0603166191862	0.0546537748531	0.044739866503	0.0720489231973	0.0574137942275	0.072009626374
H5-C-T	0.0405528994935	0.0935504999658	0.0420563414502	0.0731749765639	0.0535817657324	0.053504560311	0.0814071621236	0.0528248121766	0.0608733075122	0.0451680066439	0.0720182392238	0.0933923612431	0.062535358473	0.0487628322118	0.0304772679446	0.0538350274017	0.0	0.0655646278717	0.0635889693136	0.0367910455909	0.0571932913623	0.0586431470537	0.0503902546093	0.0638495293313	0.0642517949525	0.0381957624189	0.0662777804991	0.0491481585655	0.0659643974179	0.0479977979885	0.0600647149747	0.0712930408148	0.048442150079	0.0710757085888	0.0655049587449	0.0548123931455	0.0521725495288	0.0588962781004	0.0370347418462	0.0396452933639	0.0452095053387	0.0559289512793	0.0465172096519	0.0527876801537	0.0633493679	0.0744360817005
H4-B-B	0.0492251382766	0.0844081787266	0.0580019176196	0.0437462130108	0.0796899487872	0.0855468236917	0.0829416983891	0.0452611084399	0.0932841149535	0.0845908256527	0.101935393025	0.0927733703923	0.0643438186083	0.0635844787561	0.0706621401474	0.0503424449495	0.0655646278717	0.0	0.105043213727	0.0717320911576	0.0627398997036	0.0649518663696	0.0868549568099	0.0756225821218	0.0434764857974	0.0580135764383	0.0387957634017	0.0479060615602	0.0716250535389	0.0553824081662	0.0982767709711	0.0635888825734	0.0683499403322	0.0749454078612	0.0471726442358	0.0916343741259	0.0747935608323	0.0758241521995	0.0709910450011	0.0717389172165	0.0809211810736	0.039495241091	0.0619369302913	0.0870592537638	0.0647008475215	0.102023605996
H2-B-M	0.0766197987475	0.0910668036194	0.0698221391453	0.115177278642	0.0613277818743	0.059491832477	0.0819775910006	0.0949220728468	0.045553013477	0.0434362486072	0.0537299626406	0.0828716733712	0.0970752685542	0.0615961890264	0.0577820844492	0.0849564722502	0.0635889693136	0.105043213727	0.0	0.0616096305366	0.0756233467126	0.0878185043127	0.044803220035	0.0702071422772	0.0899269704268	0.0654425875386	0.0987845231604	0.0804126225483	0.0677583165954	0.0851853537472	0.0419499076691	0.0851395838786	0.0585290473772	0.0756002808456	0.0951429538145	0.041223753956	0.0582447609569	0.0700086208577	0.0650829022763	0.0527124610308	0.057896700284	0.0867180700872	0.0719459556112	0.0486978968486	0.069416128628	0.0630753301859
H6-B-B	0.0538497711475	0.0903285751967	0.0456170377298	0.0811063153448	0.0581706771429	0.0546712056368	0.0796625792812	0.0588746951202	0.064800516354	0.0470765878017	0.0678373501248	0.092155616656	0.0547849105096	0.0496988504194	0.0266662418578	0.0604398886268	0.0367910455909	0.0717320911576	0.0616096305366	0.0	0.05609737605	0.054684148481	0.0457492962705	0.0636381421853	0.069154315014	0.0411494668727	0.0724468773687	0.0553977613574	0.0603385517669	0.0520958477694	0.0557298956672	0.0714805417649	0.0472953867363	0.0701535637101	0.0700334541766	0.0542464882095	0.0512316298057	0.0632991103952	0.039838372138	0.0358319274164	0.044473837901	0.0583173091703	0.0455665559832	0.0562629722459	0.0595131085418	0.0752452455008
H4-C-T	0.0551943712317	0.0749595779471	0.0520952968509	0.0746325391506	0.0612607017411	0.0504981918362	0.071001950135	0.0558754645998	0.0653688719877	0.0648722741813	0.0665132559231	0.0676392406406	0.084064690535	0.0472376604708	0.0502834344153	0.0442463194078	0.0571932913623	0.0627398997036	0.0756233467126	0.05609737605	0.0	0.0802641498032	0.0678816524085	0.0542582394123	0.0443572932818	0.0546579328583	0.0472877859726	0.0402315880138	0.0575000274245	0.0504605006128	0.0620840045746	0.0656944304063	0.0447362032794	0.0582184311368	0.0517367988773	0.0581601601113	0.0600211411494	0.0449212783678	0.0508532473451	0.0564160271032	0.0468538418896	0.0594550211654	0.0354297300652	0.0689428421231	0.0511389945751	0.0760874710108
H6-C-B	0.0499696012121	0.119249171467	0.0465146666535	0.0631676440881	0.0728630164935	0.0882085946673	0.107547780473	0.0707103515849	0.0934415345936	0.0686634949136	0.092311676554	0.120590979381	0.0336146083056	0.0578909346355	0.0564052842021	0.0775050225622	0.0586431470537	0.0649518663696	0.0878185043127	0.054684148481	0.0802641498032	0.0	0.059804085885	0.0941143993533	0.0686214125214	0.0485599946219	0.073909786579	0.0704506742025	0.0830060090405	0.0706474425925	0.0909576823265	0.0926486557993	0.0682501807106	0.0979058713236	0.0748758334393	0.087574962588	0.0522083130747	0.0803204247383	0.070591333116	0.0561222605246	0.0745987471467	0.0507967332965	0.0737580179048	0.0856942659247	0.0809836722623	0.106201924934
H2-B-B	0.0651241946232	0.105791450498	0.0594824975177	0.0952513379452	0.0595953306226	0.0650739226584	0.0971917370801	0.0751664151742	0.065896163765	0.0396420053358	0.0615496081313	0.10327995503	0.0756347380977	0.0540398093639	0.045182390337	0.0780008185309	0.0503902546093	0.0868549568099	0.044803220035	0.0457492962705	0.0678816524085	0.059804085885	0.0	0.0783761326452	0.0841170421016	0.0535144958797	0.086508263846	0.0720847396127	0.0645013301628	0.0731082236979	0.0619818581889	0.0787547144722	0.0580670415945	0.0849098003429	0.0861675110907	0.0596373262269	0.0343303252074	0.0673454152637	0.0556526826734	0.0451994672937	0.0556792594005	0.0709296525934	0.0622628888098	0.0596254269315	0.0641567461472	0.0847839535803
H7-C-T	0.0671349839546	0.067240664039	0.0669195629313	0.0902084469372	0.0571298293317	0.0587469284546	0.0348161353161	0.0705227515766	0.0440348309166	0.0661056690912	0.0737114807496	0.0614340605786	0.0963831424896	0.068827894581	0.0568577045985	0.0504834452216	0.0638495293313	0.0756225821218	0.0702071422772	0.0636381421853	0.0542582394123	0.0941143993533	0.0783761326452	0.0	0.0609815282023	0.0624578916091	0.0608129636921	0.0508353479855	0.0541632797476	0.0568411488315	0.0612081829337	0.0575496257076	0.052125558039	0.0443091468542	0.0595286257371	0.0505337186975	0.0824247439846	0.062343508654	0.0541743239342	0.0607266524209	0.0580874304747	0.0737180824841	0.0520942479512	0.0525731466961	0.0488206222849	0.0438993707729
H4-B-T	0.0420608702359	0.0843035298645	0.0443219772815	0.0590950679806	0.0688108526561	0.0684463870017	0.0745555968303	0.0613915551131	0.0757944203779	0.077996753953	0.0910564307097	0.0796286518412	0.066940367417	0.0513073066059	0.0620920221057	0.0374398607193	0.0642517949525	0.0434764857974	0.0899269704268	0.069154315014	0.0443572932818	0.0686214125214	0.0841170421016	0.0609815282023	0.0	0.0498201639209	0.0348469876578	0.0390658662726	0.0728540572306	0.0528603146561	0.0838540157589	0.0787597673667	0.0506982193545	0.0643626448026	0.0393597204249	0.072719099793	0.0667931389485	0.0585661975247	0.0665418267886	0.0633935001791	0.0658725165221	0.045703483505	0.0507034789053	0.0783905286734	0.064466312614	0.0866684145527
H6-C-T	0.0340308721528	0.0932991161015	0.030110884986	0.0711434380016	0.054073046424	0.0623843664666	0.080227231255	0.058775323254	0.0632483435013	0.0460305941569	0.0744575410722	0.0916766330537	0.0535076074501	0.0352345182489	0.035894995671	0.0506631032718	0.0381957624189	0.0580135764383	0.0654425875386	0.0411494668727	0.0546579328583	0.0485599946219	0.0535144958797	0.0624578916091	0.0498201639209	0.0	0.0559472873938	0.0404073734842	0.0643722622977	0.049236308378	0.0662365313918	0.0766424946558	0.03650875566	0.0711441125776	0.0545119338712	0.0548409309296	0.0434881863499	0.0571166130378	0.0462453577469	0.031782903717	0.0503830157915	0.0437993646299	0.0486134854778	0.0580535781	0.0575389390437	0.0780962416232
H4-A-T	0.0465796032216	0.0770928422131	0.0503540970638	0.0542973110913	0.0706960611512	0.0785556162312	0.0727551487714	0.051066672079	0.079805948107	0.0832601923559	0.0979334461964	0.0798003849796	0.0741201228743	0.0558585116488	0.0668185736597	0.0412244534401	0.0662777804991	0.0387957634017	0.0987845231604	0.0724468773687	0.0472877859726	0.073909786579	0.086508263846	0.0608129636921	0.0348469876578	0.0559472873938	0.0	0.0407709441263	0.0697773911998	0.050356970142	0.0921920685022	0.0668509843099	0.059419110787	0.064676397126	0.0306585287428	0.0831213658308	0.0720036706049	0.0625031845121	0.0662387485204	0.069536928624	0.0722580519168	0.0461589592648	0.0508010791615	0.0818831349579	0.0609778554284	0.0882932807872
H3-A-T	0.0445024276225	0.0780546593789	0.0437229437479	0.0651302412548	0.0615733037084	0.0604834746985	0.0654441717357	0.0481932493328	0.0671063566299	0.0634447734148	0.0810342823593	0.0750402427887	0.0711348826776	0.0455625990376	0.0496774794671	0.0357180340792	0.0491481585655	0.0479060615602	0.0804126225483	0.0553977613574	0.0402315880138	0.0704506742025	0.0720847396127	0.0508353479855	0.0390658662726	0.0404073734842	0.0407709441263	0.0	0.0562000064901	0.0340995454225	0.0701156354811	0.0642524727009	0.0447131818689	0.0508322594365	0.035232153358	0.0605232938439	0.0622158163125	0.056373165896	0.0456721546422	0.0517805934586	0.0489274678067	0.0411090052989	0.0306556710489	0.0679975204798	0.0478580333225	0.0755725788931
H3-B-B	0.0738218135137	0.0659401411349	0.0693272778162	0.0879423726577	0.0714349327391	0.0621785323997	0.0675286278546	0.0612717370792	0.0648760375987	0.0716709014669	0.056566757379	0.0691710454731	0.0956715399832	0.0625569452092	0.0564250237434	0.0652879012008	0.0659643974179	0.0716250535389	0.0677583165954	0.0603385517669	0.0575000274245	0.0830060090405	0.0645013301628	0.0541632797476	0.0728540572306	0.0643722622977	0.0697773911998	0.0562000064901	0.0	0.0599478943773	0.0522425672589	0.0457255858232	0.0600840772636	0.0446324384609	0.0684020145465	0.0516411307686	0.0655785559369	0.068423489126	0.052412919025	0.0680975487977	0.0487653436099	0.0600631138343	0.0450152235999	0.069861489324	0.0281251515161	0.0725741672675
H3-C-M	0.0511126467181	0.0838631975268	0.0467296106513	0.0669770208916	0.0621259655787	0.0663446184152	0.0710774228978	0.0473868145547	0.0706449787814	0.065908913502	0.0874313454701	0.0846582064799	0.0678913288109	0.0580536375527	0.0492209230868	0.041029231871	0.0479977979885	0.0553824081662	0.0851853537472	0.0520958477694	0.0504605006128	0.0706474425925	0.0731082236979	0.0568411488315	0.0528603146561	0.049236308378	0.050356970142	0.0340995454225	0.0599478943773	0.0	0.0746061931214	0.0679206414083	0.0504741194238	0.0521909970061	0.0393846689544	0.0645546854885	0.0664300848742	0.0605366991682	0.0455889653843	0.0514608668144	0.0485467003654	0.0440820887513	0.0370413284263	0.0690332650238	0.054161312389	0.0751587383326
H2-C-M	0.0787649404898	0.0791563582131	0.0733363993588	0.111310698331	0.0734452718253	0.0475621557413	0.0721342904395	0.0883988729238	0.0499997792297	0.058828586176	0.0405370159809	0.070193760616	0.0976917318378	0.0642331149841	0.0517192223322	0.0730787732977	0.0600647149747	0.0982767709711	0.0419499076691	0.0557298956672	0.0620840045746	0.0909576823265	0.0619818581889	0.0612081829337	0.0838540157589	0.0662365313918	0.0921920685022	0.0701156354811	0.0522425672589	0.0746061931214	0.0	0.0757018413098	0.061120910214	0.0598350947002	0.0892314908096	0.0305621970754	0.0616072461171	0.069285872365	0.044975208201	0.0600418011842	0.0446899901102	0.08486058649	0.0583963616002	0.0590582996816	0.0570979481767	0.0556203786354
H4-C-B	0.0792591842985	0.0641118019912	0.0757160239018	0.0874600897492	0.0771098021287	0.070623420309	0.066760651802	0.0547535722566	0.0721019669829	0.0847875776613	0.0774571342183	0.0730187631755	0.101965107325	0.0749116426323	0.0653309178073	0.0654943357752	0.0712930408148	0.0635888825734	0.0851395838786	0.0714805417649	0.0656944304063	0.0926486557993	0.0787547144722	0.0575496257076	0.0787597673667	0.0766424946558	0.0668509843099	0.0642524727009	0.0457255858232	0.0679206414083	0.0757018413098	0.0	0.0680500176626	0.0560633093508	0.0738649405291	0.0718772962789	0.0877351121165	0.0788303848246	0.0650637502613	0.0770366224915	0.0695732063254	0.0743831953673	0.0584324410535	0.0755769306554	0.0487645838417	0.0791956820441
H6-A-T	0.0480054523961	0.0809801672095	0.0341060929912	0.0807600909865	0.0444173808174	0.0475963678487	0.0673120536472	0.062767696163	0.0512180104852	0.0494068471335	0.06742682303	0.0716271956257	0.071580334107	0.0459671718923	0.0379286228908	0.051176029118	0.048442150079	0.0683499403322	0.0585290473772	0.0472953867363	0.0447362032794	0.0682501807106	0.0580670415945	0.052125558039	0.0506982193545	0.03650875566	0.059419110787	0.0447131818689	0.0600840772636	0.0504741194238	0.061120910214	0.0680500176626	0.0	0.0612321863202	0.0600418611936	0.0496126235337	0.0559248325873	0.0406628111279	0.0504865494322	0.0363236953467	0.0432385011322	0.058018150828	0.0430953302507	0.0494366823823	0.0502532471723	0.066907341718
H3-A-M	0.0744508176896	0.0552218829042	0.0722031738554	0.0909542220606	0.0734414000734	0.0649511257898	0.0459526307287	0.0720198477642	0.0634069010457	0.0788098459968	0.0724721596423	0.0568439248596	0.0965749378566	0.0736260453722	0.0635312211499	0.0502191267437	0.0710757085888	0.0749454078612	0.0756002808456	0.0701535637101	0.0582184311368	0.0979058713236	0.0849098003429	0.0443091468542	0.0643626448026	0.0711441125776	0.064676397126	0.0508322594365	0.0446324384609	0.0521909970061	0.0598350947002	0.0560633093508	0.0612321863202	0.0	0.0576583452546	0.0560312027123	0.0840671139495	0.073649814619	0.0539760722532	0.070834588196	0.0579595506998	0.0671905384957	0.0495857120533	0.0734298759778	0.043684192754	0.062105206611
H3-C-T	0.0481357390972	0.083919994075	0.0512037120751	0.0615405043973	0.0705681733269	0.0785127995923	0.0705131108622	0.0565488253109	0.0783773705322	0.0790519812904	0.0970164619451	0.0845487208512	0.0729880067193	0.0536564924283	0.0658747588044	0.0418832511365	0.0655049587449	0.0471726442358	0.0951429538145	0.0700334541766	0.0517367988773	0.0748758334393	0.0861675110907	0.0595286257371	0.0393597204249	0.0545119338712	0.0306585287428	0.035232153358	0.0684020145465	0.0393846689544	0.0892314908096	0.0738649405291	0.0600418611936	0.0576583452546	0.0	0.0785513041736	0.0713504779129	0.0658413231704	0.0616650102131	0.0647300635942	0.0643434094881	0.0392315301018	0.0446548494558	0.0795133578853	0.059227436882	0.0863033030424
H2-A-M	0.0677794825659	0.0818016010672	0.0642535554132	0.102734767746	0.060631633223	0.0455703245373	0.0675659798169	0.0827663473729	0.0392890989264	0.048680713833	0.0506765380157	0.0748455847021	0.0901253370893	0.0554751662283	0.0456510012448	0.0657777656167	0.0548123931455	0.0916343741259	0.041223753956	0.0542464882095	0.0581601601113	0.087574962588	0.0596373262269	0.0505337186975	0.072719099793	0.0548409309296	0.0831213658308	0.0605232938439	0.0516411307686	0.0645546854885	0.0305621970754	0.0718772962789	0.0496126235337	0.0560312027123	0.0785513041736	0.0	0.0593752481878	0.0608772269535	0.0410146608334	0.0510570860921	0.0403541549637	0.0755331998703	0.0519979952413	0.0460123533948	0.0525255487677	0.0533402766504
