	H5-B-T	H4-A-B	H6-A-M	H5-B-B	H5-B-M	H4-C-M	H7-B-T	H5-C-B	H7-C-M	H2-A-T	H2-C-B	H4-A-M	H6-A-B	H2-B-T	H6-B-M	H4-B-M	H5-C-T	H4-B-B	H2-B-M	H6-B-B	H4-C-T	H6-C-B	H2-B-B	H7-C-T	H4-B-T	H6-C-T	H4-A-T	H3-A-T	H3-B-B	H3-C-M	H2-C-M	H4-C-B	H6-A-T	H3-A-M	H3-C-T	H2-A-M	H2-A-B	H5-A-M	H2-C-T	H6-C-M	H3-B-M	H3-C-B	H3-B-T	H7-B-B	H3-A-B	H7-B-M
H2-C-B	0.37403032422	0.390613630984	0.341146467286	0.447889543552	0.418637990016	0.327323815569	0.395583198272	0.398752724188	0.395856325561	0.365609131793	0.0	0.384643425288	0.358616534006	0.318014684125	0.335578215798	0.374392941816	0.352740091739	0.412288989129	0.360117124304	0.337475926795	0.359475700094	0.337398236765	0.307974889938	0.393258740863	0.403337359025	0.325775973746	0.417632989482	0.363896901581	0.373995076476	0.369427943273	0.290154272511	0.422734125053	0.3782296295	0.378379065667	0.426783337398	0.337272366608	0.327959032465	0.401606725638	0.334555303576	0.329115252392	0.33439103655	0.391686732468	0.345854170164	0.404732982086	0.38008073006	0.381960437438
H4-A-M	0.360591566357	0.300920801692	0.331465763543	0.390017632008	0.384807614652	0.369699437263	0.341479998112	0.371006495377	0.342160054387	0.390489474112	0.384643425288	0.0	0.390869227976	0.374737886585	0.375292237941	0.311934072559	0.384505368663	0.333648488649	0.375524392597	0.387322287608	0.335111432486	0.381178717698	0.368154351197	0.358778322829	0.322287064185	0.347720470158	0.314880006903	0.333913559902	0.346178420153	0.339310917983	0.38195712364	0.387833034079	0.346779729861	0.357738643018	0.368402935835	0.385982654696	0.382430247529	0.345460622059	0.406745434255	0.368905695098	0.378211735542	0.358178496086	0.359477493614	0.375628740433	0.350469014129	0.344465995947
H6-A-B	0.239855958404	0.403304791409	0.248995166224	0.3144184714	0.326752574576	0.32725104229	0.393617816217	0.364024040068	0.357409956984	0.347056164087	0.358616534006	0.390869227976	0.0	0.314391569241	0.217256048508	0.305963174814	0.245263989662	0.394189818442	0.383885056995	0.289577264383	0.366694113437	0.209419639313	0.327515512288	0.388745926733	0.344923237177	0.315843708175	0.389777137057	0.344174898978	0.397074686825	0.333562005128	0.333818202297	0.39965799771	0.343192040239	0.353094227187	0.402237261163	0.33737070836	0.336699179796	0.372342117333	0.283280228719	0.284828063459	0.339872944473	0.340891384382	0.343206275852	0.36603554873	0.388281803678	0.367768291283
H2-B-T	0.306528522089	0.380498833534	0.282773113999	0.389586556874	0.328945636822	0.32800936209	0.366257066302	0.380326811631	0.331475547479	0.341462961802	0.318014684125	0.374737886585	0.314391569241	0.0	0.308225060231	0.30034438493	0.309813943077	0.362264606095	0.32331646913	0.300208245512	0.346681941965	0.284232493804	0.291245324728	0.381899692127	0.357009955945	0.271204885339	0.36411203213	0.345873194406	0.35836054119	0.355478800391	0.287766017281	0.372955556075	0.302806867551	0.35698110278	0.396369585066	0.323064396191	0.321613624855	0.362012918798	0.307335140752	0.288423010274	0.333255447006	0.345517959715	0.328774571752	0.329451152688	0.330231873758	0.345151025677
H6-B-M	0.240755565025	0.36101283112	0.22619096491	0.31840561893	0.315794421917	0.278347446428	0.364817808138	0.380504129809	0.311631904375	0.34439740043	0.335578215798	0.375292237941	0.217256048508	0.308225060231	0.0	0.287514568062	0.200429509182	0.37416591324	0.342656636791	0.257960363736	0.335063400419	0.229786663611	0.300641874307	0.354169653777	0.335433225656	0.282048718599	0.341394401574	0.303640771006	0.341844290188	0.319166188864	0.277799218859	0.344146784801	0.29201093303	0.320939801133	0.385499708729	0.303138400609	0.321785257535	0.348548041926	0.234415414639	0.291485435062	0.2997697269	0.335396897523	0.266243615716	0.348897311297	0.374495467722	0.334088424953
H4-B-M	0.232196429942	0.308569752974	0.258435407393	0.273994139927	0.291192976308	0.297525789511	0.329224527875	0.347482479248	0.316366611176	0.343191299777	0.374392941816	0.311934072559	0.305963174814	0.30034438493	0.287514568062	0.0	0.263246084106	0.309245245612	0.387062246817	0.337676251706	0.274507757241	0.284350934522	0.382131565306	0.334456407216	0.250093336909	0.290855765188	0.291075090708	0.32130516384	0.355435778406	0.326650950222	0.317620726061	0.335534298484	0.332371088142	0.31599239629	0.344986384805	0.340053279515	0.369270334146	0.325145608735	0.27659287206	0.339609021019	0.36717082849	0.325409890184	0.3355437888	0.386129391114	0.337495629995	0.332192210612
H5-C-T	0.20408751513	0.361623994693	0.217620085528	0.255280004009	0.26393676469	0.306049912989	0.380074979996	0.328400515557	0.319699760156	0.349063861666	0.352740091739	0.384505368663	0.245263989662	0.309813943077	0.200429509182	0.263246084106	0.0	0.352754741578	0.37252342339	0.301223534556	0.340894110365	0.230171281367	0.341627157542	0.373460009992	0.330711735136	0.288767033905	0.360122102883	0.321251469514	0.352935355308	0.333563378988	0.309128835088	0.344040137253	0.315560827034	0.327109816439	0.387400277824	0.338660105746	0.367292715667	0.342365643457	0.222238860461	0.30992648768	0.33300386994	0.335106535082	0.296419200747	0.379179022287	0.378723536032	0.347053962373
H4-B-B	0.370652749214	0.307810683509	0.33112129385	0.34206330307	0.372696009508	0.374035156452	0.360354604358	0.332385268119	0.375264874258	0.415703072563	0.412288989129	0.333648488649	0.394189818442	0.362264606095	0.37416591324	0.309245245612	0.352754741578	0.0	0.411525753008	0.392012423378	0.329116683611	0.354509301588	0.370304573156	0.381034803937	0.343954373747	0.337198900527	0.316068207437	0.368860502952	0.354862964511	0.356956691536	0.413334755389	0.317032346237	0.363938303138	0.373180359042	0.414578674076	0.413747214635	0.395732787988	0.347227277905	0.423292844098	0.37551314655	0.41623880977	0.39227523385	0.384884423014	0.394242087071	0.369874409451	0.403314152212
H2-B-M	0.387493725	0.397390960637	0.303662191196	0.436239326804	0.391603279408	0.371877912611	0.388786225674	0.408662561325	0.307659498583	0.314476023708	0.360117124304	0.375524392597	0.383885056995	0.32331646913	0.342656636791	0.387062246817	0.37252342339	0.411525753008	0.0	0.328204287803	0.411201218158	0.368426660818	0.26304759114	0.411443340566	0.384860645981	0.327540745716	0.390099212325	0.361126068084	0.373932035627	0.379784766078	0.328830497091	0.459263572269	0.308230966844	0.376128184159	0.409013017744	0.332360254729	0.286461275618	0.373382564911	0.402051578158	0.295270412419	0.349127502747	0.370318469964	0.355094884749	0.303491000938	0.36936274766	0.344618611883
H6-B-B	0.333054567175	0.355204101217	0.297590300696	0.39441630079	0.401039546976	0.266961614967	0.368593821281	0.36128872438	0.364716573543	0.363100623444	0.337475926795	0.387322287608	0.289577264383	0.300208245512	0.257960363736	0.337676251706	0.301223534556	0.392012423378	0.328204287803	0.0	0.329782238992	0.296389311218	0.317825721561	0.379598855173	0.351961104379	0.298329216281	0.380259239125	0.355314561313	0.348942446816	0.331289467042	0.259708276233	0.419033624145	0.328392746706	0.36360523961	0.412860400189	0.327707766985	0.309146848822	0.369784225228	0.301071475058	0.311940927764	0.286057219851	0.378947286429	0.305746987382	0.348615614671	0.363821976077	0.349131724399
