index,D_0__Archaea;D_1__Euryarchaeota;D_2__Halobacteria;D_3__Halobacteriales;D_4__Halobacteriaceae,D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Thermoplasmatales;D_4__Marine Group II,D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Thermoplasmatales;__,D_0__Archaea;D_1__Nanohaloarchaeota;Ambiguous_taxa;D_3__;D_4__,D_0__Archaea;D_1__Nanohaloarchaeota;D_2__hypersaline lake metagenome;D_3__;D_4__,D_0__Archaea;D_1__Nanohaloarchaeota;D_2__uncultured haloarchaeon;D_3__;D_4__,D_0__Archaea;D_1__Nanohaloarchaeota;__;__;__,D_0__Archaea;__;__;__;__,D_0__Bacteria;D_1__Actinobacteria;D_2__Nitriliruptoria;D_3__Euzebyales;D_4__Euzebyaceae,D_0__Bacteria;D_1__Actinobacteria;D_2__Rubrobacteria;D_3__Rubrobacterales;D_4__Rubrobacteriaceae,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidetes Incertae Sedis;D_3__Order II;D_4__Rhodothermaceae,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidetes Incertae Sedis;D_3__Order III;D_4__Unknown Family,D_0__Bacteria;D_1__Bacteroidetes;D_2__Sphingobacteriia;D_3__Sphingobacteriales;D_4__uncultured,D_0__Bacteria;D_1__Bacteroidetes;D_2__Sphingobacteriia;D_3__Sphingobacteriales;__,D_0__Bacteria;D_1__Cyanobacteria;D_2__Chloroplast;__;__,D_0__Bacteria;D_1__Cyanobacteria;D_2__Cyanobacteria;D_3__SubsectionIII;D_4__FamilyI,D_0__Bacteria;D_1__Cyanobacteria;__;__;__,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Thermoanaerobacterales;D_4__Family III,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;__;__,D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae;D_3__Phycisphaerales;D_4__Phycisphaeraceae,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bradymonadales;D_4__uncultured bacterium,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Chromatiales;D_4__Ectothiorhodospiraceae,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Salinisphaerales;D_4__Salinisphaeraceae,D_0__Bacteria;D_1__TM6 (Dependentiae);D_2__uncultured bacterium;D_3__;D_4__,D_0__Bacteria;__;__;__;__,Unassigned;__;__;__;__,EW,NS,Altitude,Location,Transect
Feb8-37_SPA,2046.0,14.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,7.0,323.0,0.0,0.0,0.0,0.0,269.0,0.0,0.0,0.0,34.0,12.0,33.0,0.0,0.0,488.0,0.0,-70.006895,-20.941285999999998,644.0,SG1,PLAIN
Feb8-39_SPA,2694.0,17.0,0.0,0.0,0.0,165.0,0.0,0.0,31.0,0.0,423.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,38.0,34.0,68.0,0.0,13.0,474.0,0.0,-70.00713499999999,-20.943448999999998,643.36,SG1,PLAIN
Feb8-41_SPA,2971.0,0.0,0.0,8.0,0.0,98.0,0.0,0.0,12.0,0.0,596.0,0.0,0.0,0.0,0.0,387.0,0.0,0.0,0.0,41.0,0.0,31.0,0.0,0.0,362.0,0.0,-70.007264,-20.945467999999998,641.97,SG1,PLAIN
Feb8-43_SPA,2286.0,17.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,0.0,0.0,0.0,0.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,0.0,-70.007832,-20.947195,643.67,SG1,PLAIN
Feb8-45_SPA,2551.0,7.0,0.0,0.0,0.0,48.0,0.0,0.0,23.0,13.0,279.0,0.0,0.0,0.0,18.0,232.0,0.0,0.0,0.0,0.0,13.0,19.0,0.0,0.0,546.0,0.0,-70.008064,-20.948477,645.02,SG1,PLAIN
Feb8-47_SPA,3178.0,14.0,0.0,14.0,0.0,133.0,0.0,0.0,41.0,0.0,456.0,0.0,0.0,0.0,0.0,630.0,0.0,0.0,0.0,29.0,0.0,37.0,0.0,0.0,445.0,0.0,-70.00841,-20.949647,645.64,SG1,PLAIN
Feb8-49_SPA,2208.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,31.0,0.0,446.0,0.0,0.0,0.0,0.0,513.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,259.0,0.0,-70.008628,-20.950634,646.46,SG1,PLAIN
Feb8-5_SPA,1213.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,331.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,179.0,12.0,-70.01321800000001,-20.930557,661.77,SG1,SG1-N_hill
Feb8-51_SPA,2785.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,529.0,0.0,0.0,0.0,0.0,858.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,454.0,0.0,-70.008875,-20.952092,646.79,SG1,PLAIN
Feb8-53_SPA,2387.0,0.0,0.0,30.0,0.0,0.0,0.0,4.0,0.0,0.0,967.0,0.0,0.0,0.0,300.0,911.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,362.0,0.0,-70.008862,-20.953301,647.87,SG1,PLAIN
Feb8-55_SPA,2780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.0,0.0,0.0,0.0,12.0,978.0,0.0,0.0,0.0,44.0,0.0,29.0,0.0,0.0,690.0,0.0,-70.00888499999999,-20.954514,647.05,SG1,PLAIN
Feb8-61_SPA,1250.0,0.0,0.0,66.0,0.0,64.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,98.0,0.0,-70.011569,-20.955563,649.24,SG1,SG1_hill-flat
Feb8-65_SPA,2404.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,12.0,0.0,351.0,0.0,0.0,0.0,0.0,295.0,0.0,0.0,0.0,3.0,13.0,14.0,0.0,0.0,287.0,0.0,-70.014077,-20.955154,646.94,SG1,SG1_hill-flat
Feb8-7_SPA,1356.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,194.0,0.0,-70.013062,-20.93065,660.74,SG1,SG1-N_hill
