	H2-A-B_ASD	H2-A-M_ASD	H2-A-T_ASD	H2-B-B_ASD	H2-B-M_ASD	H2-B-T_ASD	H2-C-B_ASD	H2-C-M_ASD	H2-C-T_ASD	H3-A-B_ASD	H3-A-M_ASD	H3-A-T_ASD	H3-B-B_ASD	H3-B-M_ASD	H3-B-T_ASD	H3-C-B_ASD	H3-C-M_ASD	H3-C-T_ASD	H4-A-B_ASD	H4-A-M_ASD	H4-A-T_ASD	H4-B-B_ASD	H4-B-M_ASD	H4-B-T_ASD	H4-C-B_ASD	H4-C-M_ASD	H4-C-T_ASD	H5-A-M_ASD	H5-B-B_ASD	H5-B-M_ASD	H5-B-T_ASD	H5-C-B_ASD	H5-C-T_ASD	H6-A-B_ASD	H6-A-M_ASD	H6-A-T_ASD	H6-B-B_ASD	H6-B-M_ASD	H6-C-B_ASD	H6-C-M_ASD	H6-C-T_ASD	H7-B-B_ASD	H7-B-M_ASD	H7-B-T_ASD	H7-C-M_ASD	H7-C-T_ASD
H3-A-M_ASD	0.09335279730215384	0.10519034258076924	0.09889058413992308	0.11353822885376923	0.10696896773242306	0.0924378182031923	0.20684825007480773	0.1647397720828077	0.18207201529303846	0.1072957551271154	0.0	0.058964898573115376	0.1355937286983077	0.22170265618396157	0.1657843629068077	0.09787145985573076	0.10062139145307693	0.07019760449896154	0.14263915086450002	0.1518307405246923	0.09287735960373077	0.12670935853473075	0.06191890135588461	0.060912708920307694	0.0816884115015	0.19068173536799998	0.19483212039388464	0.09055959346684615	0.14918948449557692	0.11523415887776922	0.07795829550457692	0.10890829688926923	0.14170626743226925	0.13904507750165385	0.0781854458488077	0.11801168593015385	0.11386549452584617	0.13983819000011538	0.10863121695707692	0.0845971778991923	0.12267218687015385	0.12536851926342307	0.07507332415692308	0.052742306392884616	0.10310220166042308	0.11077588254153847
H3-A-T_ASD	0.11041532958596154	0.09198288341734617	0.12354144189326922	0.1347741507051154	0.12961576578230768	0.09577448389984614	0.1974846720646923	0.15421471803753847	0.16891585439153847	0.0880843661873077	0.058964898573115376	0.0	0.1215125332015	0.2024845285172308	0.14432287079338468	0.12008949343353845	0.12072158423080767	0.08683268355846152	0.1267899097446923	0.11692383049403846	0.10217349836046152	0.14977530289792307	0.08192979426623076	0.08140947036742306	0.09393028005846152	0.1807598395258077	0.17252976538615383	0.10015948230965384	0.1674069454226923	0.13244727232073075	0.10069847830061537	0.13293437919638462	0.1248450092093077	0.16380250186984616	0.06990562350699997	0.09709776166957695	0.10255020230319231	0.12044970802915386	0.12957178485796153	0.11081096670923074	0.1047851265228077	0.14337804053607692	0.08431432143465382	0.06509502273415382	0.08683819655400002	0.09083630762303847
H3-B-B_ASD	0.12186806702976923	0.09798293784653844	0.15825870032238462	0.16136220347323077	0.18333359026173074	0.12528989053888462	0.11345375313342307	0.1089062878595	0.12490490725150001	0.08283875346757692	0.1355937286983077	0.1215125332015	0.0	0.15605061540534618	0.10672751071619231	0.15479028106773077	0.1890768494460769	0.17025502840280768	0.18998213590711538	0.11823601783192307	0.1694630413839615	0.19930288374188462	0.14347663297088462	0.16022588454276923	0.12589332114719232	0.13830002739846153	0.14548198347142308	0.15844961835969232	0.23809780230396155	0.21372672156407696	0.17332184580103846	0.1834110987951923	0.09896863160334615	0.21339955712519232	0.12678517620173074	0.11338960522715383	0.12660733107084615	0.0863622082621923	0.1489231689683846	0.16909333968826923	0.11242685904261536	0.20655761618834614	0.15348551067884614	0.1306534572082692	0.13852346916303845	0.11707018487446152
H3-B-M_ASD	0.2064329514198077	0.15862690613319233	0.22002961200957694	0.25762742531750005	0.25313969949346155	0.19905134360307694	0.10048870967200002	0.11692852731376924	0.08438651578853847	0.18539496837784614	0.22170265618396157	0.2024845285172308	0.15605061540534618	0.0	0.07471048152653845	0.25641312818769235	0.23342457201180766	0.2515420872998462	0.2850524389600769	0.14802335266819233	0.258443649988	0.30583290367400007	0.21776512913753848	0.23667692306873075	0.2202976383755385	0.07366637304219233	0.10875230003538462	0.21472382737250004	0.32270723649638466	0.2719674954845	0.2530368256831539	0.27086192306007695	0.13292837202607694	0.27665674175384614	0.18656900695992307	0.16955205006873075	0.1842079529777308	0.13216727765361538	0.21666583032303846	0.22963179636276923	0.15307979624242307	0.2508873638319231	0.20589552539003844	0.21447617978738462	0.1813645314642308	0.1827217248878077
H3-B-T_ASD	0.16012620522642312	0.12309326932603847	0.18123866012288462	0.21407951764050004	0.2181136979382308	0.14455910171846154	0.07239609834253843	0.08715973406146153	0.056558907392307685	0.13446449025807694	0.1657843629068077	0.14432287079338468	0.10672751071619231	0.07471048152653845	0.0	0.20249118897046153	0.1973270302421923	0.19282237471815383	0.22682885472292308	0.1003034727330385	0.19695419448600004	0.24833814904199997	0.1706327759459231	0.1821905434558077	0.16373759898376927	0.061494819137576914	0.07126807303499999	0.17664300614980774	0.2732815577913847	0.23561930308034618	0.2005738522989231	0.2181036645372308	0.1069518238826154	0.23793776460446156	0.14627134132584618	0.12273230331134616	0.15511070003965383	0.10487523256376927	0.17615432336311537	0.1960685406140769	0.10886246452903844	0.22650719316615386	0.16981963723296153	0.1573437419402308	0.15340465387769234	0.13976712046265388
H3-C-B_ASD	0.10815384723911536	0.1513152268017308	0.1049783802061923	0.08275959512880769	0.0921476819843077	0.10206761532038461	0.22387690067676924	0.21058062721015383	0.20844065323284616	0.12935671088353845	0.09787145985573076	0.12008949343353845	0.15479028106773077	0.25641312818769235	0.20249118897046153	0.0	0.08698026115534616	0.06579625073253846	0.19152002821415384	0.2104230360338077	0.06303454376007693	0.0722961517013077	0.11504032128215384	0.07773568383342308	0.11099469653661538	0.23108755241119228	0.22935694231576925	0.12334918446034615	0.11144109688146155	0.09396733327634615	0.06319574766700001	0.07818033883707692	0.16585713963507692	0.0860037597766923	0.1222538766813077	0.16684093224188462	0.1329381685075	0.1688108832935385	0.1122904457041923	0.08759254614076924	0.1343792963068077	0.08516749980546154	0.12222270770019232	0.11147005034207691	0.14759357533630768	0.1736530573161154
H3-C-M_ASD	0.14711425363	0.16079000050523076	0.12373477691523077	0.12125708967123078	0.12115376429519231	0.1454629210828846	0.25041233555957687	0.21745755578896156	0.21011326964488464	0.17957338246080773	0.10062139145307693	0.12072158423080767	0.1890768494460769	0.23342457201180766	0.1973270302421923	0.08698026115534616	0.0	0.0724210304128077	0.20277239464742308	0.2171669079746923	0.08094036443334615	0.11449349269480769	0.10425652016688462	0.079722131763	0.12523614514296152	0.2238200782330769	0.2325689107075769	0.10925650917653848	0.12759376727026925	0.09673003186984616	0.0819208160934231	0.0801824238948077	0.15794183483680774	0.1009772910278077	0.11637675413396154	0.17864343063384616	0.14190649085892307	0.1634036025614231	0.13549665064784613	0.09866570801026923	0.15338003432576927	0.09644636297588463	0.10081249530053847	0.1081669390835	0.1378600619634231	0.17044466395384616
H3-C-T_ASD	0.12038309655396152	0.13968294403034615	0.11580571881934615	0.09794036358296153	0.09881150416776924	0.10627286232961539	0.23723971707546154	0.20541793490384613	0.21985879099923075	0.14095614059146155	0.07019760449896154	0.08683268355846152	0.17025502840280768	0.2515420872998462	0.19282237471815383	0.06579625073253846	0.0724210304128077	0.0	0.16834479856999995	0.18248716589480768	0.03948669429923077	0.09184300604500001	0.09215901938792306	0.04940696969211538	0.10670708669469228	0.22112389677257693	0.2112049841459231	0.10437674697503845	0.1078837242583077	0.0809123929975	0.047034216117999995	0.08209133417861539	0.174000236422	0.11456464805746153	0.10835025751246154	0.14781436860211541	0.14147585989296152	0.16809052617369227	0.12094029328673077	0.08301506726592309	0.14701322884119233	0.0908374764693077	0.1004040556358077	0.08593446644830768	0.12184128171200002	0.13750866890273078
H4-A-B_ASD	0.18191527847234618	0.17126233804965388	0.1956988686321154	0.21310301650273078	0.20993634365115385	0.16685978156515385	0.26838779623161535	0.22989948601530769	0.2527674765560769	0.17562032643123077	0.14263915086450002	0.1267899097446923	0.18998213590711538	0.2850524389600769	0.22682885472292308	0.19152002821415384	0.20277239464742308	0.16834479856999995	0.0	0.19873692255142308	0.17572619063730766	0.2062984076683077	0.14236054377692306	0.1565863266551154	0.15130460285238462	0.2581518726098846	0.2585943760013077	0.1644493188209615	0.23824156909307695	0.2126558094621923	0.17597590605023078	0.19770768095515384	0.2103226896933077	0.23778635265523074	0.14124873434284613	0.18658983152819228	0.18492628817573076	0.19827634448492307	0.2000789538935	0.18740924031700001	0.1861893516124231	0.22029592619538457	0.1627418506551923	0.13313610409792304	0.17174823585207694	0.1838380835261923
H4-A-M_ASD	0.17897982117646155	0.12103713789130768	0.1993382845750769	0.2078920919539231	0.19796332893934615	0.1645691471091923	0.1429574711788077	0.10869693089965388	0.12679341949626927	0.12390689772003845	0.1518307405246923	0.11692383049403846	0.11823601783192307	0.14802335266819233	0.1003034727330385	0.2104230360338077	0.2171669079746923	0.18248716589480768	0.19873692255142308	0.0	0.19315754267965385	0.24157039108988465	0.15404217875888457	0.1709118610993846	0.17284789182003846	0.11667914705776923	0.13007989744665385	0.16652560125461538	0.2634314781725769	0.22494239519976925	0.19457832837896155	0.2290450126418077	0.14452608775934614	0.2561804800506538	0.1419748020435769	0.10374493924461538	0.17835156748753844	0.12494994137380769	0.20322240685553844	0.1971167607625	0.15033273758776922	0.2332997638226538	0.17604856385361534	0.15037124486965384	0.15700745703973074	0.09945442098230767
H4-A-T_ASD	0.13004721293680768	0.1518239807741923	0.12269321667580768	0.10788683747996153	0.10895418143961538	0.10763753574961538	0.23823828577246153	0.21321543644715382	0.21748988712923076	0.15153834292784618	0.09287735960373077	0.10217349836046152	0.1694630413839615	0.258443649988	0.19695419448600004	0.06303454376007693	0.08094036443334615	0.03948669429923077	0.17572619063730766	0.19315754267965385	0.0	0.08960575803384616	0.09465473312630768	0.05406014316057692	0.09818835139730768	0.22432772891996153	0.2043628499863077	0.10408209459326923	0.11682945239315386	0.09877062423065386	0.06370144618253845	0.077380308237	0.16947721771892305	0.11183859650338461	0.11414851055276923	0.15828108881411537	0.13986291914526922	0.16837726287815383	0.12605418298126925	0.09081541431669232	0.14134970446003847	0.08918073753961539	0.10673628072550001	0.08550317505553845	0.12897967558823076	0.14813949262665382
H4-B-B_ASD	0.15109102646503844	0.1940371037028846	0.1450740524685	0.12398641844626923	0.13687085403976923	0.141247358164	0.2744147815576154	0.25296325601553843	0.2568604979421538	0.17608899951015386	0.12670935853473075	0.14977530289792307	0.19930288374188462	0.30583290367400007	0.24833814904199997	0.0722961517013077	0.11449349269480769	0.09184300604500001	0.2062984076683077	0.24157039108988465	0.08960575803384616	0.0	0.13411525977407693	0.10629172695065385	0.1276688186166923	0.2710047719098846	0.2676577253742307	0.1506517775391154	0.0636353218143077	0.09726250484296153	0.09091963212046154	0.07955833161969231	0.21001790210084614	0.09174184129746155	0.15296744146815383	0.20042613332780768	0.1745730189978077	0.21183949191730772	0.14880094137042307	0.12049533472923077	0.17534265055396156	0.1200655308513077	0.15776844277434615	0.137746155649	0.18048539130576924	0.20574731340626926
H4-B-M_ASD	0.11491223163796153	0.11460143629896154	0.12445423370242306	0.1419181490655	0.1289852382610769	0.10473871589653846	0.2134036676503846	0.17779390840792306	0.19467271431215386	0.13762346065761538	0.06191890135588461	0.08192979426623076	0.14347663297088462	0.21776512913753848	0.1706327759459231	0.11504032128215384	0.10425652016688462	0.09215901938792306	0.14236054377692306	0.15404217875888457	0.09465473312630768	0.13411525977407693	0.0	0.06167085448773076	0.096556955561	0.1785858573238846	0.196177449704	0.05773525836680769	0.15654677723515384	0.11977697459265384	0.09888028105900001	0.11125190779292307	0.1504557063706154	0.15264777455946155	0.07600642034723078	0.12564806509019233	0.12407802961296155	0.13224151684138463	0.13561604200457691	0.10075950053461537	0.1301344797148077	0.12613580751076925	0.06865251998503848	0.05007797843946154	0.10789325556423078	0.11289070960150001
H4-B-T_ASD	0.115634663749	0.1242969774136923	0.10801781464146154	0.11158538926238462	0.09796886505165384	0.09718308794796154	0.22350690759050001	0.18881387779880768	0.2033652268374231	0.13734223654911537	0.060912708920307694	0.08140947036742306	0.16022588454276923	0.23667692306873075	0.1821905434558077	0.07773568383342308	0.079722131763	0.04940696969211538	0.1565863266551154	0.1709118610993846	0.05406014316057692	0.10629172695065385	0.06167085448773076	0.0	0.09472808836880768	0.19960085048007692	0.19196497091050002	0.07985367403446154	0.1275214435478077	0.09301847857038462	0.0594514573915	0.09063237001811539	0.15667690647411536	0.12200718653611536	0.08687139993219231	0.1356609085786923	0.1281869207766923	0.14746205221565384	0.11524834706876923	0.07043541511880769	0.1319344735863077	0.09362145750403846	0.07734450228338463	0.061923865789730775	0.11221706782165386	0.12744951632438462
H4-C-B_ASD	0.08987591480257691	0.13224129407503848	0.11266239630242307	0.12604557414011536	0.13750357428030768	0.09149400525599999	0.19931192189615385	0.17700291287776926	0.18157701943800003	0.11345641404407694	0.0816884115015	0.09393028005846152	0.12589332114719232	0.2202976383755385	0.16373759898376927	0.11099469653661538	0.12523614514296152	0.10670708669469228	0.15130460285238462	0.17284789182003846	0.09818835139730768	0.1276688186166923	0.096556955561	0.09472808836880768	0.0	0.1933479185029615	0.1883138158419231	0.10906968791642307	0.16619548621907693	0.15310120083365383	0.11585714435353846	0.10344786071100001	0.13649799190738462	0.15277958087015384	0.08946631634569233	0.1318085347985	0.10679073136119233	0.1320409043636154	0.09942343744319229	0.1137538625127692	0.11681077534242308	0.14910466163676922	0.10956584321326925	0.08128781631723078	0.11635087513638463	0.13481295547934616
H4-C-M_ASD	0.17594686662530767	0.13091740583623077	0.18695032564107691	0.2222475534756154	0.21312571764088462	0.16344756179234615	0.07623773783726925	0.08767830827503845	0.06574281360119232	0.16464018495934613	0.19068173536799998	0.1807598395258077	0.13830002739846153	0.07366637304219233	0.061494819137576914	0.23108755241119228	0.2238200782330769	0.22112389677257693	0.2581518726098846	0.11667914705776923	0.22432772891996153	0.2710047719098846	0.1785858573238846	0.19960085048007692	0.1933479185029615	0.0	0.08217521350742309	0.18312977623438462	0.29449067365057696	0.24303186909000002	0.21690779405257693	0.24158717095026927	0.10874097813403846	0.24432056678296155	0.15810795548042308	0.12896404983723075	0.1492170761854615	0.10222785340257692	0.19214011967907693	0.18732436989142306	0.11813672849446152	0.2193050676565	0.1732216961	0.18137296011042306	0.14730904931073077	0.1420641344356923
H4-C-T_ASD	0.18878434971996155	0.16257293807334616	0.21268450265288458	0.24003601525357693	0.24269862327707692	0.1652141943220769	0.0835445624856154	0.12397482550515382	0.080431316876	0.16492051470915384	0.19483212039388464	0.17252976538615383	0.14548198347142308	0.10875230003538462	0.07126807303499999	0.22935694231576925	0.2325689107075769	0.2112049841459231	0.2585943760013077	0.13007989744665385	0.2043628499863077	0.2676577253742307	0.196177449704	0.19196497091050002	0.1883138158419231	0.08217521350742309	0.0	0.20554621906142306	0.288325245058	0.2601372961101154	0.2241996977401538	0.23930531377399997	0.14394886203469232	0.2667620473653846	0.1831625247949231	0.15278448493226923	0.18486974349803842	0.1433518223813846	0.2063026560511154	0.22042958564476925	0.1367280522839615	0.2500463427671539	0.19257365132403842	0.1774505394193846	0.1736440805786923	0.15677559926826917
H5-A-M_ASD	0.11588377202692307	0.1257992556236154	0.12444886859292308	0.14264050919292307	0.13239034331819227	0.10957389480903845	0.2166498579282692	0.18781186421973076	0.2036145386857308	0.15003527793826923	0.09055959346684615	0.10015948230965384	0.15844961835969232	0.21472382737250004	0.17664300614980774	0.12334918446034615	0.10925650917653848	0.10437674697503845	0.1644493188209615	0.16652560125461538	0.10408209459326923	0.1506517775391154	0.05773525836680769	0.07985367403446154	0.10906968791642307	0.18312977623438462	0.20554621906142306	0.0	0.15327584530257693	0.10432908519338462	0.09859436021596152	0.12045725869711538	0.15046783859196156	0.16026321080042308	0.08040979657365385	0.13430044396946156	0.1301017953613077	0.13522661326034616	0.13159723740669232	0.1106665148815	0.13380658748938462	0.12535746245896154	0.07758101135361539	0.07713796406557694	0.10991217697342308	0.12086168183653848
