	Feb9-4-8	Feb10-r3-a	Feb9-5-b	Feb7-15	Feb9-3-a	Feb9-5-a	Feb10-r4-a	Feb9-3-b	Feb9-4-20	Feb8-55	Feb9-2-a	Feb9-4-4	Feb8-65	Feb9-4-b	Feb9-7-b	Feb8-12	Feb9-6-a	Feb7-9	Feb10-r5-a	Feb10-r6-a	Feb9-4-17	Feb8-33	Feb8-5	Feb8-2	Feb9-4-11	Feb9-8-a	Feb7-6	Feb9-4-30-a	Feb9-4-14	Feb9-1-b	Feb9-4-26	Feb9-8-b	Feb9-1-a	Feb8-53	Feb10-r7-a	Feb8-7	Feb9-4-2	Feb9-7-a	Feb7-20	Feb8-41	Feb9-4-28	Feb8-27	Feb8-49	Feb8-15	Feb8-45	Feb8-39	Feb9-4-24	Feb8-61	Feb8-47	Feb8-37	Feb9-4-a	Feb7-3	Feb8-9	Feb8-23	Feb7-1	Feb9-6-b	Feb9-2-b	SG1-E-mid	Feb8-51	Feb8-43	Feb9-4-22	Feb8-35	Feb10-r2-a	Feb8-19	Feb10-r1-a	Feb8-32	Feb9-4-6	Feb7-12
Feb10-r5-a	0.374092358023	0.304899260345	0.371847070894	0.306487295259	0.476040931513	0.377661318779	0.296971784227	0.399660480754	0.389814921317	0.360814139487	0.392230107225	0.404860402569	0.296470418843	0.484567357972	0.429151146343	0.402086762495	0.476131412151	0.248513272844	0.0	0.259694569348	0.528550034094	0.303671812984	0.367751426858	0.426005259995	0.504969053589	0.323107098949	0.278334004716	0.51566956994	0.507785084499	0.49278115912	0.484014521884	0.295473771556	0.339094407481	0.32420265652	0.239266362404	0.358757092619	0.420382866531	0.448105922105	0.285187734263	0.281106785642	0.468545578557	0.370310326764	0.308678619293	0.314743751617	0.343909354438	0.331771297837	0.447988587435	0.315732006223	0.319275386235	0.330754671096	0.398888461237	0.222341957978	0.420024558422	0.365717663524	0.305563368447	0.315086753579	0.533536696711	0.341199870882	0.349029931266	0.333681712098	0.356184774134	0.346336587074	0.368512783047	0.359475255893	0.275405692913	0.361829227481	0.546093675039	0.364555276126
Feb10-r6-a	0.330490434556	0.249870062799	0.351145614288	0.310388000589	0.464051334278	0.326049319364	0.236041474473	0.330227110454	0.355109627031	0.295639954741	0.37547312396	0.381240638434	0.270742944248	0.464421791584	0.39939992634	0.370252940408	0.444522394665	0.225190837559	0.259694569348	0.0	0.488164576797	0.240683278408	0.316857736545	0.403386027829	0.452718039921	0.310479173644	0.32977281446	0.426056080575	0.45504463106	0.475587520097	0.445486233579	0.266742310582	0.30217746231	0.297568829069	0.264087341776	0.333377619809	0.399415917576	0.389941450927	0.261675960419	0.222285326448	0.401504631333	0.295484926328	0.25674870504	0.272137084447	0.300760542094	0.24032011866	0.378989018298	0.283820543361	0.249808832177	0.290493836028	0.347949445717	0.264573567052	0.374274213231	0.315070011967	0.321002872607	0.297568837974	0.48107100291	0.274776684314	0.304522141038	0.295314898194	0.297589060813	0.304967448047	0.315018642593	0.302828269375	0.286033358573	0.327107606356	0.509452640868	0.340930198265
Feb9-4-17	0.436916166391	0.527059375324	0.345631369797	0.524274306061	0.296050229185	0.359160949414	0.501579474593	0.361039836732	0.38088347317	0.503240755738	0.393470420042	0.355607196507	0.515834023565	0.318394026724	0.379511160916	0.588227676049	0.380717333173	0.528863505378	0.528550034094	0.488164576797	0.0	0.513270054685	0.572114777254	0.597238158644	0.367278083581	0.465666924602	0.534751429968	0.430303893208	0.322426663918	0.40968501861	0.307151618923	0.451004695268	0.427284338108	0.474907541111	0.488915697852	0.569094533107	0.387343133243	0.384229702568	0.530747409541	0.491665553666	0.346487648303	0.542144528197	0.518459140163	0.506846456996	0.489984824356	0.533151491755	0.435828855527	0.493838748696	0.504038800732	0.504624321945	0.469206726042	0.541086900264	0.578649074271	0.557453662147	0.539496182109	0.460825838968	0.363371634454	0.486594826387	0.526679716448	0.506450185107	0.482865773411	0.504651284376	0.559954201892	0.532497181786	0.571884645409	0.542587456893	0.457849711378	0.55890976865
Feb8-33	0.326089186411	0.21333909792	0.374832072886	0.284470859807	0.468009980629	0.340677943056	0.233615004096	0.362386804039	0.382595443447	0.254784790617	0.402085958132	0.395806902728	0.255333006824	0.524009199979	0.384534559415	0.340792933319	0.418957813121	0.29565466687	0.303671812984	0.240683278408	0.513270054685	0.0	0.290587068482	0.351880345237	0.457307964823	0.339890277809	0.326416862036	0.425234358801	0.479186222372	0.490701183308	0.473498883716	0.30726864239	0.342484593366	0.297437546242	0.301472004276	0.265645719805	0.390082523345	0.423426007588	0.256395014007	0.210213346606	0.425044925983	0.263005365518	0.220585531482	0.218822775701	0.247457406064	0.216091784195	0.412583599862	0.260222606888	0.210900257857	0.254573105604	0.319500645704	0.279649850537	0.319592849804	0.244166201923	0.347986105313	0.299049184828	0.515597383614	0.245132241464	0.240773650216	0.285233664982	0.295815633956	0.270665605484	0.270643635657	0.241356050791	0.316253767664	0.282060062279	0.530119949598	0.283251691278
Feb8-5	0.37547694442	0.286479990182	0.42541720212	0.323170226235	0.491714552184	0.423243270346	0.290393903353	0.430579779363	0.440117864629	0.30620574404	0.431377086845	0.404090547814	0.353422362571	0.578430576773	0.479192165904	0.367622874795	0.522880685398	0.337313619591	0.367751426858	0.316857736545	0.572114777254	0.290587068482	0.0	0.30097938579	0.525243643727	0.379196292322	0.376219473273	0.477912761918	0.512158699023	0.53918122303	0.53965171253	0.342591528333	0.395241736657	0.349832169082	0.368949067949	0.285778336988	0.429256280344	0.457204217952	0.308265220431	0.308401723496	0.48968864313	0.287265722875	0.304396192146	0.310265345665	0.338269541126	0.311960830758	0.455795888103	0.343115619251	0.326448868201	0.294326181241	0.38408232102	0.353432020255	0.301960501377	0.278752978109	0.415930847128	0.3554578969	0.599291877554	0.289834353659	0.313480748552	0.347317901187	0.33656754073	0.354133947328	0.294812306823	0.293661347204	0.337502147194	0.328446001349	0.555634864758	0.369022816585
Feb8-2	0.398382449113	0.336370964821	0.462264697798	0.35446821105	0.542933133693	0.477577952115	0.363539823482	0.468533833771	0.472037617147	0.349350655521	0.481570871858	0.445689314085	0.392449743122	0.613871137353	0.50148326757	0.39642605715	0.514834730206	0.407434596568	0.426005259995	0.403386027829	0.597238158644	0.351880345237	0.30097938579	0.0	0.5512298748	0.411412276583	0.415697413493	0.463985916064	0.526950328516	0.548014180566	0.556081088481	0.405963686026	0.444410467892	0.405328573248	0.435447748209	0.306491321165	0.49882765773	0.516463644238	0.315375545433	0.357703044599	0.514664316538	0.334822442903	0.360494344172	0.345390218202	0.372676185101	0.359712891173	0.450170346974	0.378043977131	0.346490073757	0.335380404432	0.350609537251	0.405013258673	0.273516243091	0.334588133061	0.470566864117	0.390474886416	0.595177991305	0.354658067004	0.366851097238	0.38997907346	0.373110915524	0.401256670276	0.282019619246	0.358602718036	0.414994650412	0.383760120096	0.556800180916	0.364258559313
Feb9-4-11	0.426793681781	0.465213040881	0.378618391133	0.454226163396	0.422890401864	0.431120946832	0.456836881799	0.411259200362	0.398895733912	0.483617621341	0.437121477205	0.409191526846	0.496176796813	0.370500714279	0.438404476609	0.562801458412	0.364486545142	0.50289185697	0.504969053589	0.452718039921	0.367278083581	0.457307964823	0.525243643727	0.5512298748	0.0	0.433644935135	0.513628310507	0.450739730752	0.408994415647	0.301603416474	0.384349076567	0.438030746725	0.425169370809	0.459027080016	0.451269194721	0.522816225841	0.367476967483	0.442887201877	0.453306794167	0.435246122443	0.37922358157	0.537618506999	0.460404417808	0.457542324783	0.443700536312	0.483936586279	0.415057414854	0.425702216777	0.468947334365	0.48227412308	0.458829272921	0.480910176612	0.562924294727	0.519152339294	0.486727715601	0.410169832285	0.358957693652	0.470822712651	0.49067887882	0.456909420692	0.477577682366	0.454236156748	0.506105840707	0.429960909014	0.525564765546	0.50491992963	0.471301232656	0.45354421735
Feb9-8-a	0.285710549844	0.312270090312	0.283652228216	0.332687598574	0.443372477291	0.355915459336	0.282191957251	0.296693931774	0.301402482543	0.348159336738	0.351897491305	0.351529676974	0.36548067194	0.445598691477	0.347726588047	0.434860752371	0.419834573551	0.319463758992	0.323107098949	0.310479173644	0.465666924602	0.339890277809	0.379196292322	0.411412276583	0.433644935135	0.0	0.367362669882	0.434496291679	0.460555571973	0.43493572656	0.408779676122	0.24608355043	0.296904583129	0.313520983319	0.349403319117	0.370217395282	0.391933347916	0.337544515009	0.30390001315	0.307757137675	0.385921229315	0.382411514338	0.328505366059	0.332979884272	0.350806389959	0.296729227203	0.336731854303	0.33455003408	0.32563089612	0.347806912815	0.31969536181	0.315762557453	0.439338877569	0.410655050557	0.375138763592	0.313337528975	0.40961997039	0.328724107463	0.384159960703	0.365879602681	0.31512578763	0.365954784229	0.362863796633	0.357697552498	0.331950093024	0.39290618592	0.437285423977	0.391826927019
Feb7-6	0.411642129974	0.32679350815	0.419142540675	0.360237267591	0.517675402602	0.436198283782	0.345905688692	0.427803533474	0.423891326834	0.393880835752	0.411294024982	0.437693913995	0.34469973414	0.518056034499	0.470280585481	0.400025116089	0.533231358041	0.294139939498	0.278334004716	0.32977281446	0.534751429968	0.326416862036	0.376219473273	0.415697413493	0.513628310507	0.367362669882	0.0	0.552609707764	0.51994300665	0.538950636321	0.541900904328	0.365773001818	0.407134453209	0.390220136522	0.293076721635	0.382163785297	0.415709447574	0.470453183487	0.294640283925	0.327543231054	0.491327306928	0.38819310782	0.358882868621	0.350681816291	0.37107036936	0.373494654536	0.463655622729	0.332356750648	0.350177604247	0.344515508716	0.417888663149	0.250520385776	0.428452636025	0.383824232517	0.305541368347	0.379399244728	0.52710924253	0.354614355973	0.390655150844	0.343655087544	0.425962879077	0.358992610362	0.388820704253	0.383394314681	0.355875497548	0.410897627275	0.614988661775	0.352264941953
Feb9-4-30-a	0.320970351808	0.438690903762	0.375362827891	0.494796839425	0.408752937249	0.397992358416	0.418726127012	0.392230069968	0.378478249199	0.407560795996	0.390209298958	0.396626163065	0.491159024127	0.48882878754	0.352292044484	0.521204037648	0.315046418479	0.489668118709	0.51566956994	0.426056080575	0.430303893208	0.425234358801	0.477912761918	0.463985916064	0.450739730752	0.434496291679	0.552609707764	0.0	0.430499312516	0.448473533	0.389951901614	0.399000837429	0.413819381074	0.453411826272	0.477755555076	0.470363796462	0.452952054662	0.380135892669	0.432338720563	0.394780324257	0.369273291144	0.473486618453	0.446298789137	0.452287300401	0.425312412863	0.45519656453	0.346317196376	0.468882979065	0.439628782209	0.419227598669	0.333572498994	0.4999008799	0.465570419018	0.469139638025	0.534161542264	0.427252811639	0.437272785957	0.428916007628	0.46107673575	0.473429066677	0.36816375268	0.469854649825	0.443906863691	0.44996408328	0.511378808702	0.475489822161	0.334115430695	0.506391407792
Feb9-4-14	0.439011010125	0.466231513224	0.340724404326	0.526022609057	0.344317476536	0.330181455932	0.480708003923	0.351542629099	0.365510301352	0.449214674367	0.404958477909	0.341533856134	0.475937834356	0.383457864661	0.383448060951	0.49729992795	0.401094294742	0.493651111313	0.507785084499	0.45504463106	0.322426663918	0.479186222372	0.512158699023	0.526950328516	0.408994415647	0.460555571973	0.51994300665	0.430499312516	0.0	0.464938369813	0.332118774536	0.407198991259	0.43266274396	0.471192896369	0.474427275046	0.5044465013	0.388203482837	0.384301342215	0.49204392137	0.440936998248	0.357686549748	0.478571865713	0.459620515889	0.469664528803	0.470005340837	0.481563115378	0.479002032677	0.476350767763	0.483781835456	0.430258946596	0.433419496862	0.510951359703	0.503565586488	0.506756692687	0.508900935105	0.451931930554	0.441950765958	0.487053463211	0.480822871775	0.493013807551	0.462813782704	0.505003816198	0.485544700198	0.48507467059	0.504300483397	0.509003444635	0.484722286912	0.579270589412
Feb9-1-b	0.421793852897	0.508593757809	0.365690512192	0.475123004989	0.431032785817	0.433201425118	0.469509475686	0.390784848409	0.361903127216	0.525145548745	0.463309434961	0.408945681478	0.515699120282	0.314357992591	0.417648350469	0.610129277946	0.395770063554	0.500778269817	0.49278115912	0.475587520097	0.40968501861	0.490701183308	0.53918122303	0.548014180566	0.301603416474	0.43493572656	0.538950636321	0.448473533	0.464938369813	0.0	0.368423467645	0.380691670121	0.434624693482	0.450148086195	0.457445810319	0.53352431722	0.399272031101	0.430738590766	0.467486838052	0.467444132062	0.35449117459	0.549147201709	0.498559076943	0.512578039481	0.465813172063	0.527284487217	0.346522472007	0.473490975345	0.474539490949	0.469795233743	0.442035151483	0.507736142279	0.558391334629	0.524286067306	0.514014134521	0.437100459612	0.32164652753	0.480403892522	0.50835953766	0.478375233543	0.439483407385	0.490767114689	0.512523389299	0.460354781957	0.505762567123	0.491687047225	0.414392253951	0.469685688759
Feb9-4-26	0.366393263287	0.486619525755	0.323183312501	0.474551575522	0.317206875072	0.366491377976	0.447894149196	0.375250940373	0.356145107945	0.477681425168	0.377954938272	0.351333859732	0.479235288788	0.316297724506	0.306730588618	0.571530913177	0.302823004902	0.495245215189	0.484014521884	0.445486233579	0.307151618923	0.473498883716	0.53965171253	0.556081088481	0.384349076567	0.408779676122	0.541900904328	0.389951901614	0.332118774536	0.368423467645	0.0	0.372232386462	0.400865649303	0.398402754262	0.45620320529	0.535306732356	0.457334514015	0.305078519265	0.47248335892	0.438794858894	0.325152622529	0.504228241841	0.454292108368	0.482748972947	0.479313477105	0.490009782932	0.339491428845	0.463899341469	0.478261490161	0.463483024766	0.407061730064	0.524492211	0.555569306153	0.528567792718	0.538452700745	0.416006717275	0.326618240312	0.478963028107	0.493902455607	0.498218205998	0.425826147248	0.49929187869	0.526123435228	0.503061361843	0.50705594485	0.496949639606	0.307672916305	0.497863842708
Feb9-8-b	0.269060972013	0.28826524028	0.262292430971	0.309834075729	0.409372138473	0.292493560823	0.255126834747	0.286216513466	0.277280911123	0.342504815335	0.330950457178	0.323516753774	0.332681292697	0.403652940576	0.309062748736	0.428344429624	0.403315915911	0.287923249206	0.295473771556	0.266742310582	0.451004695268	0.30726864239	0.342591528333	0.405963686026	0.438030746725	0.24608355043	0.365773001818	0.399000837429	0.407198991259	0.380691670121	0.372232386462	0.0	0.273391290809	0.299944983106	0.302562648019	0.336455412663	0.361475002251	0.318871820003	0.303402403723	0.299606896464	0.362300203642	0.361976284283	0.290967069185	0.327111396295	0.333018958825	0.309042713956	0.314749009893	0.340037631858	0.321278090456	0.294901314041	0.319480837471	0.299209523435	0.399052804691	0.372641025431	0.361041044265	0.297930844807	0.427704771563	0.345685791091	0.352774914296	0.374313112102	0.282406216193	0.370287575357	0.341771913435	0.3474889476	0.28409940697	0.362352132437	0.455484641853	0.38844104148
Feb9-1-a	0.327442511797	0.352380303744	0.30398151355	0.346618704099	0.398188583042	0.30872221461	0.311825081182	0.294630299014	0.329505942183	0.334890489868	0.350471340873	0.353598501468	0.294726728154	0.408858180008	0.367613239137	0.467369544988	0.376939583685	0.338761939795	0.339094407481	0.30217746231	0.427284338108	0.342484593366	0.395241736657	0.444410467892	0.425169370809	0.296904583129	0.407134453209	0.413819381074	0.43266274396	0.434624693482	0.400865649303	0.273391290809	0.0	0.304703864832	0.328006953562	0.399152751709	0.354165950019	0.394216824772	0.36158054555	0.3078158174	0.371616673025	0.353747558948	0.288892384578	0.341086302579	0.318920645206	0.314203240371	0.402711814387	0.323940487241	0.29894347082	0.330975555277	0.352179919988	0.353027381586	0.448150784811	0.378194228205	0.390175414777	0.27846857476	0.458418916693	0.33497610389	0.317344488662	0.331483686099	0.331837807201	0.322542181925	0.432155496022	0.377309880116	0.321137221208	0.366985723708	0.446023212805	0.42932324299
Feb8-53	0.349613873426	0.334846485294	0.328712586667	0.315263015557	0.428784715466	0.326631927541	0.287908083912	0.355930639476	0.377680713172	0.305499173483	0.383457019992	0.375792532082	0.285077420504	0.448963678417	0.382509961039	0.434118213908	0.409083727538	0.32300850552	0.32420265652	0.297568829069	0.474907541111	0.297437546242	0.349832169082	0.405328573248	0.459027080016	0.313520983319	0.390220136522	0.453411826272	0.471192896369	0.450148086195	0.398402754262	0.299944983106	0.304703864832	0.0	0.304988445169	0.367826153859	0.355481950189	0.394815504556	0.325331360558	0.275495371075	0.369958452959	0.319492159171	0.239200702048	0.32334943621	0.295297542021	0.294654188959	0.383341367333	0.27912006568	0.317352624234	0.302260859354	0.338844661553	0.337701508006	0.451490697496	0.343484212998	0.373680884222	0.297906758504	0.495025524029	0.297394405893	0.287550456321	0.286150890105	0.342399149366	0.315940463219	0.399624468919	0.321486776379	0.346251367987	0.306833387153	0.468076262951	0.362866031165
