	H2-A-B_ASD	H2-A-M_ASD	H2-A-T_ASD	H2-B-B_ASD	H2-B-M_ASD	H2-B-T_ASD	H2-C-B_ASD	H2-C-M_ASD	H2-C-T_ASD	H3-A-B_ASD	H3-A-M_ASD	H3-A-T_ASD	H3-B-B_ASD	H3-B-M_ASD	H3-B-T_ASD	H3-C-B_ASD	H3-C-M_ASD	H3-C-T_ASD	H4-A-B_ASD	H4-A-M_ASD	H4-A-T_ASD	H4-B-B_ASD	H4-B-M_ASD	H4-B-T_ASD	H4-C-B_ASD	H4-C-M_ASD	H4-C-T_ASD	H5-A-M_ASD	H5-B-B_ASD	H5-B-M_ASD	H5-B-T_ASD	H5-C-B_ASD	H5-C-T_ASD	H6-A-B_ASD	H6-A-M_ASD	H6-A-T_ASD	H6-B-B_ASD	H6-B-M_ASD	H6-C-B_ASD	H6-C-M_ASD	H6-C-T_ASD	H7-B-B_ASD	H7-B-M_ASD	H7-B-T_ASD	H7-C-M_ASD	H7-C-T_ASD
H3-A-M_ASD	0.7118076923076923	0.7088461538461538	0.8023846153846154	0.7203076923076923	0.7301538461538462	0.5798461538461539	0.7270384615384615	0.7078461538461538	0.7076538461538462	0.5731153846153846	0.0	0.5732307692307692	0.6030384615384615	0.6346923076923077	0.619	0.5717307692307693	0.6386153846153846	0.49688461538461537	0.6461153846153846	0.6145	0.5696923076923077	0.6035	0.5856923076923077	0.5534230769230769	0.7290769230769231	0.6953846153846154	0.6708846153846154	0.6251153846153846	0.703076923076923	0.6703461538461538	0.6093461538461539	0.6564615384615384	0.7189615384615384	0.7490769230769231	0.6577692307692308	0.677	0.7796538461538461	0.8013076923076923	0.7072692307692308	0.7673461538461539	0.6698461538461539	0.7316923076923076	0.646576923076923	0.6277307692307692	0.7122692307692308	0.6918461538461539
H3-A-T_ASD	0.6967307692307693	0.6581153846153847	0.8042307692307692	0.7210769230769231	0.7398076923076923	0.6342307692307693	0.7038076923076924	0.691	0.6388846153846154	0.6366923076923077	0.5732307692307692	0.0	0.6305	0.6555	0.6251923076923077	0.6478846153846154	0.6359230769230769	0.551	0.6744230769230769	0.6005769230769231	0.5898076923076923	0.7311923076923077	0.6392692307692308	0.5496923076923077	0.7398461538461538	0.7653846153846153	0.6307307692307692	0.6028461538461538	0.7210384615384615	0.681	0.5977692307692307	0.7065384615384616	0.7127692307692308	0.7898076923076923	0.6674615384615384	0.6401923076923077	0.8038461538461539	0.7804230769230769	0.7573076923076923	0.752423076923077	0.625423076923077	0.6707692307692308	0.6001923076923077	0.6134615384615385	0.7028846153846153	0.5716538461538462
H3-B-B_ASD	0.5882307692307692	0.6828461538461539	0.7452307692307693	0.5915384615384616	0.7119230769230769	0.5767307692307693	0.6558076923076923	0.6866923076923077	0.6895384615384615	0.47392307692307695	0.6030384615384615	0.6305	0.0	0.6459615384615385	0.6043846153846154	0.43253846153846154	0.6723461538461538	0.5915384615384616	0.6896923076923077	0.6624615384615384	0.5937307692307693	0.6279615384615385	0.6828846153846154	0.6156538461538461	0.7131153846153846	0.7508846153846154	0.6776153846153846	0.7003846153846154	0.646576923076923	0.7265384615384616	0.6223076923076923	0.7066153846153846	0.6727307692307692	0.7103076923076923	0.7050384615384615	0.6595769230769231	0.6751538461538461	0.7166538461538462	0.6120769230769231	0.7245	0.6319230769230769	0.7362692307692308	0.7134230769230769	0.6879615384615385	0.6993076923076923	0.7260384615384615
H3-B-M_ASD	0.6356538461538461	0.6700769230769231	0.7641538461538462	0.6827307692307693	0.6487307692307692	0.6386923076923077	0.6505384615384615	0.5885769230769231	0.5654615384615385	0.600423076923077	0.6346923076923077	0.6555	0.6459615384615385	0.0	0.5164615384615384	0.6618461538461539	0.6515384615384615	0.6185	0.7266923076923076	0.6489615384615385	0.7069615384615384	0.7656538461538461	0.7236923076923077	0.6425	0.8182307692307692	0.5751923076923077	0.618423076923077	0.6843846153846154	0.7802307692307693	0.678	0.6944230769230769	0.7493846153846154	0.5963076923076923	0.7474615384615385	0.6317307692307692	0.6059615384615384	0.6903461538461538	0.6501153846153847	0.6311153846153846	0.7292692307692308	0.615	0.7013076923076923	0.6791538461538461	0.7438846153846154	0.6511538461538462	0.7317307692307692
H3-B-T_ASD	0.6291538461538462	0.6299615384615385	0.7395384615384616	0.6570384615384616	0.7197307692307693	0.5808461538461539	0.6468846153846154	0.6172307692307692	0.5819615384615384	0.5703461538461538	0.619	0.6251923076923077	0.6043846153846154	0.5164615384615384	0.0	0.61	0.6156923076923076	0.5261538461538462	0.7104615384615385	0.6238076923076923	0.5909615384615384	0.7136538461538462	0.6533846153846153	0.6333846153846154	0.7488846153846154	0.6208461538461538	0.5597692307692308	0.6777692307692308	0.7474615384615385	0.7019615384615384	0.6633461538461538	0.7518846153846154	0.6234615384615385	0.7395769230769231	0.6610769230769231	0.6181923076923077	0.7383076923076923	0.6835	0.6517692307692308	0.7133076923076923	0.5764615384615385	0.7419615384615385	0.680076923076923	0.7066923076923077	0.6417307692307692	0.7265
H3-C-B_ASD	0.625	0.708	0.7343846153846154	0.6203846153846154	0.6839615384615385	0.5104230769230769	0.6581153846153847	0.7291153846153846	0.7241153846153846	0.4978461538461538	0.5717307692307693	0.6478846153846154	0.43253846153846154	0.6618461538461539	0.61	0.0	0.6123846153846154	0.5340769230769231	0.691076923076923	0.6721923076923076	0.5765769230769231	0.5849230769230769	0.6671538461538462	0.627576923076923	0.8003076923076923	0.7616153846153846	0.7208461538461538	0.6905	0.6588846153846154	0.6942692307692307	0.6321538461538462	0.683923076923077	0.7255769230769231	0.6795769230769231	0.6648846153846154	0.686076923076923	0.7073461538461538	0.7379230769230769	0.5941153846153846	0.7322692307692308	0.6648461538461539	0.7269230769230769	0.6665	0.6942307692307692	0.6966153846153846	0.7012692307692308
H3-C-M_ASD	0.7156923076923077	0.6801923076923077	0.819	0.7475	0.7588076923076923	0.7111153846153846	0.7749230769230769	0.738	0.7503076923076923	0.6580769230769231	0.6386153846153846	0.6359230769230769	0.6723461538461538	0.6515384615384615	0.6156923076923076	0.6123846153846154	0.0	0.5922692307692308	0.7121923076923077	0.6701153846153847	0.651576923076923	0.7173076923076923	0.6653076923076923	0.6249230769230769	0.803	0.79	0.6909615384615385	0.6524230769230769	0.6975384615384616	0.6558076923076923	0.6676923076923077	0.725	0.7423076923076923	0.8018846153846154	0.7027692307692308	0.7209230769230769	0.8157692307692308	0.751423076923077	0.7640384615384616	0.7890384615384616	0.7528846153846154	0.7363846153846154	0.6391923076923077	0.6826538461538462	0.7116923076923077	0.7134230769230769
H3-C-T_ASD	0.7480384615384615	0.6976153846153846	0.8331538461538461	0.7213076923076923	0.7783846153846153	0.5937692307692307	0.7401153846153846	0.7067692307692308	0.7232692307692308	0.5902692307692308	0.49688461538461537	0.551	0.5915384615384616	0.6185	0.5261538461538462	0.5340769230769231	0.5922692307692308	0.0	0.6550384615384616	0.614	0.500423076923077	0.6649615384615385	0.6475	0.5656923076923077	0.7483076923076923	0.7330769230769231	0.6621153846153847	0.5872692307692308	0.7106923076923077	0.6660769230769231	0.6175	0.6509615384615385	0.7488461538461538	0.7771538461538462	0.665	0.6862307692307692	0.8000384615384616	0.7641538461538462	0.7473846153846154	0.7552692307692308	0.685076923076923	0.7507692307692307	0.639	0.6236153846153846	0.713	0.7068846153846153
H4-A-B_ASD	0.7658846153846154	0.7538846153846154	0.792923076923077	0.7443076923076923	0.7600384615384616	0.7111923076923077	0.7733076923076924	0.7671153846153846	0.7064615384615385	0.6807307692307693	0.6461153846153846	0.6744230769230769	0.6896923076923077	0.7266923076923076	0.7104615384615385	0.691076923076923	0.7121923076923077	0.6550384615384616	0.0	0.48215384615384616	0.6208846153846154	0.6415	0.6181153846153846	0.6418461538461538	0.7471538461538462	0.7498846153846154	0.7082692307692308	0.6491538461538462	0.6645	0.6901538461538461	0.6480769230769231	0.6571153846153847	0.7498076923076923	0.7976538461538462	0.7276923076923076	0.7278846153846154	0.8400384615384615	0.8013076923076923	0.7338461538461538	0.8136923076923077	0.7247307692307692	0.7684615384615384	0.7004615384615385	0.691923076923077	0.747	0.7144230769230769
H4-A-M_ASD	0.6831538461538461	0.6855	0.7875769230769231	0.6994230769230769	0.6988076923076924	0.6233846153846154	0.7015384615384616	0.6562307692307693	0.6055384615384616	0.6312307692307693	0.6145	0.6005769230769231	0.6624615384615384	0.6489615384615385	0.6238076923076923	0.6721923076923076	0.6701153846153847	0.614	0.48215384615384616	0.0	0.6063846153846154	0.6858461538461539	0.5961538461538461	0.586076923076923	0.7865	0.6655	0.6341923076923077	0.5711923076923077	0.7081153846153846	0.6340769230769231	0.6081923076923077	0.6534615384615384	0.6887692307692308	0.7440769230769231	0.6610384615384616	0.5873846153846154	0.7619615384615385	0.7252307692307692	0.6712692307692307	0.7529230769230769	0.6631923076923077	0.7015384615384616	0.6357692307692308	0.6711538461538461	0.6598461538461539	0.6453076923076924
